ID	geometry	bbox_north	bbox_south	bbox_east	bbox_west	place_id	osm_type	osm_id	lat	lon	class	type	place_rank	importance	addresstype	name	display_name
ILCA_ASU001	POINT (-65.82247 -19.2201563)	-19.2238056	-19.2182902	-65.8245213	-65.8195311	3689568	way	97061939	-19.2201563	-65.82247	place	village	19	0.3468437919960061	village	Tinguipaya	Tinguipaya, Municipio Tinguipaya, Provincia Tomás Frías, Potosí, Bolivia
ILCA_ASU002	POINT (-65.4653828 -20.3687897)	-20.3705240	-20.3670792	-65.4665439	-65.4629459	3661012	way	605012571	-20.3687897	-65.4653828	place	village	19	0.27501	village	Calcha	Calcha, Municipio Vitichi, Provincia Nor Chichas, Potosí, Bolivia
ILCA_ASU003	POINT (-65.4653828 -20.3687897)	-20.3705240	-20.3670792	-65.4665439	-65.4629459	3661012	way	605012571	-20.3687897	-65.4653828	place	village	19	0.27501	village	Calcha	Calcha, Municipio Vitichi, Provincia Nor Chichas, Potosí, Bolivia
ILCA_ASU004	POINT (-65.82247 -19.2201563)	-19.2238056	-19.2182902	-65.8245213	-65.8195311	3689568	way	97061939	-19.2201563	-65.82247	place	village	19	0.3468437919960061	village	Tinguipaya	Tinguipaya, Municipio Tinguipaya, Provincia Tomás Frías, Potosí, Bolivia
ILCA_ASU005	POINT (-65.5117483 -18.8062996)	-18.8113571	-18.8033948	-65.5156050	-65.5054666	3634357	way	155478247	-18.8062996	-65.5117483	place	village	19	0.27501	village	Ravelo	Ravelo, Municipio Ravelo, Provincia Chayanta, Potosí, Bolivia
ILCA_ASU006	POINT (-64.9150438 -19.1824227)	-19.2024227	-19.1624227	-64.9350438	-64.8950438	3644494	node	319719185	-19.1824227	-64.9150438	place	village	19	0.3298478578672752	village	Tarabuco	Tarabuco, Municipio Tarabuco, Provincia Yamparaez, Chuquisaca, Bolivia
ILCA_ASU007	POINT (-65.5117483 -18.8062996)	-18.8113571	-18.8033948	-65.5156050	-65.5054666	3634357	way	155478247	-18.8062996	-65.5117483	place	village	19	0.27501	village	Ravelo	Ravelo, Municipio Ravelo, Provincia Chayanta, Potosí, Bolivia
ILCA_BML001	POINT (-74.9370624 -14.8277203)	-15.0040704	-14.7031122	-75.3013535	-74.7143969	3118258	relation	1899037	-14.8277203	-74.9370624	boundary	administrative	16	0.32685540608755304	town	Nasca	Nasca, Ica, 11401, Perú
ILCA_BML002	POINT (-74.9370624 -14.8277203)	-15.0040704	-14.7031122	-75.3013535	-74.7143969	3118258	relation	1899037	-14.8277203	-74.9370624	boundary	administrative	16	0.32685540608755304	town	Nasca	Nasca, Ica, 11401, Perú
ILCA_BML003	POINT (-74.9370624 -14.8277203)	-15.0040704	-14.7031122	-75.3013535	-74.7143969	3118258	relation	1899037	-14.8277203	-74.9370624	boundary	administrative	16	0.32685540608755304	town	Nasca	Nasca, Ica, 11401, Perú
ILCA_BML004	POINT (-74.9370624 -14.8277203)	-15.0040704	-14.7031122	-75.3013535	-74.7143969	3118258	relation	1899037	-14.8277203	-74.9370624	boundary	administrative	16	0.32685540608755304	town	Nasca	Nasca, Ica, 11401, Perú
ILCA_BML005	POINT (-109.33602969583333 -27.128500000000003)	-27.4020000	-26.8550000	-109.6795789	-109.0029912	1843071	relation	14227159	-27.128500000000003	-109.33602969583333	boundary	maritime	25	0.41579756663960604	maritime	Rapa Nui	Rapa Nui, Región de Valparaíso, 2770000, Chile
ILCA_BML006	POINT (-74.9370624 -14.8277203)	-15.0040704	-14.7031122	-75.3013535	-74.7143969	3118258	relation	1899037	-14.8277203	-74.9370624	boundary	administrative	16	0.32685540608755304	town	Nasca	Nasca, Ica, 11401, Perú
ILCA_BML007	POINT (-74.9370624 -14.8277203)	-15.0040704	-14.7031122	-75.3013535	-74.7143969	3118258	relation	1899037	-14.8277203	-74.9370624	boundary	administrative	16	0.32685540608755304	town	Nasca	Nasca, Ica, 11401, Perú
ILCA_BML008	POINT (-109.33602969583333 -27.128500000000003)	-27.4020000	-26.8550000	-109.6795789	-109.0029912	1843071	relation	14227159	-27.128500000000003	-109.33602969583333	boundary	maritime	25	0.41579756663960604	maritime	Rapa Nui	Rapa Nui, Región de Valparaíso, 2770000, Chile
ILCA_BML009	POINT (-109.33602969583333 -27.128500000000003)	-27.4020000	-26.8550000	-109.6795789	-109.0029912	1843071	relation	14227159	-27.128500000000003	-109.33602969583333	boundary	maritime	25	0.41579756663960604	maritime	Rapa Nui	Rapa Nui, Región de Valparaíso, 2770000, Chile
