                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5996,                0.38532,                      1,                 1.5494,             0.00018564,             0.00018564,             0.00018564
                      2,                 1.2816,                0.55046,                      1,                 1.4242,             0.00034096,             0.00034096,             0.00034096
                      3,                 1.0011,                0.61927,                      1,                 1.3426,              0.0004581,              0.0004581,              0.0004581
                      4,                0.83825,                 0.6422,                      1,                 1.2862,             0.00050194,             0.00050194,             0.00050194
                      5,                0.69451,                0.63761,                      1,                 1.2731,             0.00043126,             0.00043126,             0.00043126
                      6,                0.60207,                0.66055,                      1,                 1.2684,             0.00036057,             0.00036057,             0.00036057
                      7,                0.51752,                0.66972,                      1,                 1.2377,             0.00028988,             0.00028988,             0.00028988
                      8,                0.53012,                0.68807,                      1,                 1.2336,              0.0002192,              0.0002192,              0.0002192
                      9,                0.46604,                 0.6789,                      1,                 1.2164,             0.00014851,             0.00014851,             0.00014851
                     10,                 0.4489,                0.68349,                      1,                 1.2366,             7.7826e-05,             7.7826e-05,             7.7826e-05
