                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.667,                    0.2,                      1,                 1.6067,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                 1.6076,                0.29091,                      1,                 1.5894,             8.3631e-05,             8.3631e-05,             8.3631e-05
                      3,                 1.5209,                0.45455,                      1,                 1.5655,             0.00011453,             0.00011453,             0.00011453
                      4,                 1.4231,                0.49091,                      1,                 1.5375,             0.00013552,             0.00013552,             0.00013552
                      5,                 1.3333,                0.56364,                      1,                 1.5074,             0.00014663,             0.00014663,             0.00014663
                      6,                 1.1945,                0.56364,                      1,                 1.4773,             0.00014783,             0.00014783,             0.00014783
                      7,                  1.133,                0.58182,                      1,                 1.4515,             0.00013914,             0.00013914,             0.00013914
                      8,                 1.0795,                0.54545,                      1,                 1.4393,             0.00012056,             0.00012056,             0.00012056
                      9,                0.99423,                0.54545,                      1,                  1.431,             9.2077e-05,             9.2077e-05,             9.2077e-05
                     10,                 1.0126,                0.54545,                      1,                 1.4227,               5.37e-05,               5.37e-05,               5.37e-05
