                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5409,                0.51699,                      1,                 1.4994,              0.0002322,              0.0002322,              0.0002322
                      2,                 1.0955,                0.61165,                      1,                 1.3115,             0.00046089,             0.00046089,             0.00046089
                      3,                0.88916,                0.68689,                      1,                 1.2567,             0.00068015,             0.00068015,             0.00068015
                      4,                0.73299,                0.74029,                      1,                 1.1987,             0.00067159,             0.00067159,             0.00067159
                      5,                0.62705,                0.77913,                      1,                 1.1614,             0.00065745,             0.00065745,             0.00065745
                      6,                0.53779,                0.80825,                      1,                 1.1407,             0.00064331,             0.00064331,             0.00064331
                      7,                0.46634,                0.82039,                      1,                 1.1105,             0.00062918,             0.00062918,             0.00062918
                      8,                0.41411,                0.80583,                      1,                 1.1215,             0.00061504,             0.00061504,             0.00061504
                      9,                0.36375,                 0.8568,                      1,                 1.0703,              0.0006009,              0.0006009,              0.0006009
                     10,                0.32638,                 0.8568,                      1,                 1.0733,             0.00058677,             0.00058677,             0.00058677
                     11,                0.28543,                 0.8568,                      1,                 1.0685,             0.00057263,             0.00057263,             0.00057263
                     12,                 0.2738,                0.86893,                      1,                 1.0578,             0.00055849,             0.00055849,             0.00055849
                     13,                0.26971,                 0.8568,                      1,                 1.0525,             0.00054435,             0.00054435,             0.00054435
                     14,                0.23436,                0.87136,                      1,                 1.0438,             0.00053022,             0.00053022,             0.00053022
                     15,                0.22101,                0.87621,                      1,                 1.0458,             0.00051608,             0.00051608,             0.00051608
                     16,                0.18805,                0.87379,                      1,                  1.037,             0.00050194,             0.00050194,             0.00050194
                     17,                0.19928,                0.88107,                      1,                 1.0373,              0.0004878,              0.0004878,              0.0004878
                     18,                0.20095,                0.88835,                      1,                 1.0313,             0.00047367,             0.00047367,             0.00047367
                     19,                0.18001,                0.89078,                      1,                  1.018,             0.00045953,             0.00045953,             0.00045953
                     20,                0.14997,                0.87379,                      1,                 1.0245,             0.00044539,             0.00044539,             0.00044539
                     21,                0.15299,                0.87136,                      1,                 1.0389,             0.00043126,             0.00043126,             0.00043126
                     22,                0.12978,                0.88835,                      1,                 1.0278,             0.00041712,             0.00041712,             0.00041712
                     23,                0.13302,                0.89563,                      1,                 1.0225,             0.00040298,             0.00040298,             0.00040298
                     24,                0.13143,                0.88107,                      1,                 1.0213,             0.00038884,             0.00038884,             0.00038884
                     25,                0.12548,                0.88592,                      1,                 1.0301,             0.00037471,             0.00037471,             0.00037471
                     26,                0.11488,                0.88835,                      1,                 1.0212,             0.00036057,             0.00036057,             0.00036057
                     27,                0.11456,                0.87621,                      1,                 1.0212,             0.00034643,             0.00034643,             0.00034643
                     28,                0.09828,                0.89806,                      1,                 1.0079,              0.0003323,              0.0003323,              0.0003323
                     29,                0.10474,                0.87621,                      1,                 1.0327,             0.00031816,             0.00031816,             0.00031816
                     30,                0.10266,                0.88592,                      1,                 1.0212,             0.00030402,             0.00030402,             0.00030402
                     31,                0.08535,                0.87379,                      1,                 1.0273,             0.00028988,             0.00028988,             0.00028988
                     32,                0.09941,                0.88835,                      1,                 1.0211,             0.00027575,             0.00027575,             0.00027575
                     33,                0.08224,                0.89806,                      1,                 1.0101,             0.00026161,             0.00026161,             0.00026161
                     34,                0.10003,                0.88592,                      1,                 1.0161,             0.00024747,             0.00024747,             0.00024747
                     35,                0.08523,                0.89078,                      1,                 1.0204,             0.00023334,             0.00023334,             0.00023334
                     36,                0.09384,                0.87621,                      1,                 1.0271,              0.0002192,              0.0002192,              0.0002192
                     37,                0.07742,                0.88107,                      1,                 1.0168,             0.00020506,             0.00020506,             0.00020506
                     38,                0.08668,                0.88592,                      1,                 1.0182,             0.00019092,             0.00019092,             0.00019092
                     39,                0.08346,                0.89563,                      1,                 1.0096,             0.00017679,             0.00017679,             0.00017679
                     40,                0.08454,                0.89563,                      1,                 1.0094,             0.00016265,             0.00016265,             0.00016265
                     41,                0.07915,                 0.8932,                      1,                 1.0151,             0.00014851,             0.00014851,             0.00014851
                     42,                 0.0704,                 0.8835,                      1,                 1.0132,             0.00013437,             0.00013437,             0.00013437
                     43,                0.08252,                0.89563,                      1,                 1.0082,             0.00012024,             0.00012024,             0.00012024
                     44,                0.08453,                0.89563,                      1,                 1.0138,              0.0001061,              0.0001061,              0.0001061
                     45,                0.08312,                0.89806,                      1,                 1.0045,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.07596,                0.90777,                      1,                 0.9986,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.06008,                0.89806,                      1,                 1.0084,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.06432,                0.89078,                      1,                 1.0046,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.07761,                0.89078,                      1,                 1.0137,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.06607,                0.89563,                      1,                 1.0142,             2.1277e-05,             2.1277e-05,             2.1277e-05
