ID	description	image	product	period	repository	production site	find site	style	motif	technique	structure	culture	composition	component	thread 1	material	type of torsion	colour of the thread strands	thickness	direction of torsion	torsion of thread	thread 2	thread 3	fabric	colour	number of colour layers	contrast	finish	motif attribute	scene	sequence	symmetry	size	usage	direction of warp	thread 4	thread 5	thread 6
ILCA_ASU001	"Cuadro doméstico, de la región de Tinkipaya (Potosí, Bolivia), como parte del proyecto Asur de Sucre, en faz de urdimbre, elaborado en fibra de alpaca y lana de ovino.
Es de una sola pieza sin costuras ni acabado.
La composición del cuadro consiste en una banda central mayor con motivos de zigzags con aves, con estructura urdida en tres capas, y técnica de reescogido por unidad (aqllisqa) con conteo por impar derivado, 2|1.
A cada lado hay bandas menores con motivos de chevrones con semillas, igualmente con estructura urdida a tres, y técnica de escogido con conteo por impar derivado, 2|1.
Las bandas están intercaladas con listas medianas y angostas de color, y el cuadro termina con una lista de color negro.
La gama cromática es de rojos, anaranjados, violetas, y verdes, con amarillo y blanco como claros.
"	['ASU001_IMG_0754.jpg', 'ASU001_IMG_0755.jpg', 'ASU001_IMG_0756.jpg', 'ASU001_IMG_0757.jpg', 'ASU001_IMG_0758.jpg', 'ASU001_IMG_0760.jpg', 'ASU001_S1_0755.png']	Wall hanging	Republican Period (1825-present)	Museum of Indigenous Art ASUR, website	Ayllu Tinkipaya, Bolivia, Central Interandean Valleys	Ayllu Tinkipaya, Bolivia, Central Interandean Valleys	Central Qharaqhara	Bifurcation, Macha type of zigzag, Medium-sized stripe, Narrow stripe, Single ladder motif	Reselected technique selected in groups, with a derived odd count, 2|1, and 2 wefts	Complex warp-faced structure, warped in 3 layers	Aymara-Quechua-Central Qharaqhara	Grouping of bands, Grouping of strips	Structural component	Warp thread	Wool fibre						Warp thread	Weft thread	Warp-faced cloth	Blue, Bluish violet, Greenish-blue, Greyish white, Reddish orange, Reddish violet, Violet, Yellow		Major contrast		With a seed inside, With birds in its interior			Axial symmetry, Translation 1						
ILCA_ASU002	"Tapete doméstico, basado en un ponchito, de la región de Calcha (Potosí, Bolivia), como parte del proyecto de Asur en Sucre, en faz de urdimbre, elaborado de lana acrílica.
Es de una sola pieza, con una banda y flecadura adjuntada a los bordes con puntada en zigzag reforzado, en bloques de monocolor.
La composición del tapete es simétrica en torno al eje central.
Tiene una pampa dividida (o listas medianas) de color violeta rojizo oscura.
En el eje central se tiene una banda de motivos X organizada en segmentos, flanqueada por bandas menores de zigzag con semillas que se repite a los largo de la pieza.
Otra banda mayor es de un zigzag doble, flanqueada por una fila de triángulos como cerros.
Entre las bandas hay listas angostas de color, y la pieza termina en los bordes laterales con tres listas medianas de negro, rojo y verde.
Las bandas mayores tienen una estructura urdida a dos, con una técnica de escogido con conteo por impar básico, 1|1.
Las bandas menores está urdidas igualmente a dos, con técnica de escogido con conteo por por impar básico, 1|1, y por impar derivado, 2|1.
La gama cromática es de  violeta rojizo oscuro en la pampa con rojos, verdes, azules, amarillos, anaranjados, y blanco.
"	['ASU002_IMG_0761.jpg', 'ASU002_IMG_0763.jpg', 'ASU002_IMG_0765.jpg', 'ASU002_IMG_0767.jpg', 'ASU002_S1_0767.png']	Table mat	Republican Period (1825-present)	Museum of Indigenous Art ASUR, website	Bolivia, Calcha, Southern Interandean Valleys	Bolivia, Calcha, Southern Interandean Valleys	Chicha	Linear 'X' motif, Medium-sized stripe, Narrow stripe, Triangle, Zigzag with seeds	Selected technique with basic odd count, 1|1, and 1 weft	Simple warp-faced structure, warped in 2 layers	Quechua-Chicha	Grouping of bands, Grouping of strips	Added component, Structural component	Warp thread	Acrylic wool						Weft thread		Warp-faced cloth	Blue, Greenish-blue, Greyish white, Reddish orange, Reddish violet, Violet, Yellow		Major contrast											
ILCA_ASU003	"Lliclla etnográfica, de la región de Calcha (Potosí, Bolivia), de forma casi cuadrada, en faz de urdimbre, elaborada en lana de ovino.
La construcción de dos piezas unidas en una costura central con puntada en ocho con extensiones en forma de triángulos, que en pares son rombos de dos colores.
En los bordes cuenta con un acabado tubular complejo (apsu awakipa), con diseños de ojos de chichilla.
La composición de la lliclla es simétrica.
Tiene una pampa de color café medio, con cuatro áreas de diseños o pallays mayores, dos en la parte central y dos en los costados.
En los bordes se tiene una lista ancha de color rosado y una banda menor de diseños.
Las bandas mayores en la parte central son de volutas en chevrones, urdidas a dos con técnica de escogido con conteo por impar derivado, 2|1, flanqueadas por bandas menores de triángulos como cerros, con la misma estructura, pero con técnica de escogida con conteo por impar básico, 1|1.
En el pallay de los costados, la banda mayor es de aves en fila, en estructura urdida a dos, con técnica de escogido con conteo por par, 2|2, flanqueada igualmente por bandas menores de motivos de triángulos como cerros.
El el borde se tiene otra banda menor de zigzag doble con semillas y la pieza termina con listas medianas de café, rojo y negro.
La secuencia se repite el otro lado de la lliclla.
La gama cromática es de café rojizo en la pampa, con rojos, guindos, violetas, verdes, ocres, anaranjados, amarillo y blanco.
"	['ASU003_IMG_0770.jpg', 'ASU003_IMG_0773.jpg', 'ASU003_IMG_0774.jpg', 'ASU003_IMG_0775.jpg', 'ASU003_IMG_0776.jpg', 'ASU003_S1_0775.png', 'ASU003_S1_0776.png']	Coffee-coloured pampa mantle	Republican Period (1825-present)	Museum of Indigenous Art ASUR, website	Bolivia, Calcha, Southern Interandean Valleys	Bolivia, Calcha, Southern Interandean Valleys	Chicha	Bifurcating volutes, Bird in general, Medium-sized stripe, Mountain, Narrow stripe, Pampa, Wide stripe, Zigzag with seeds	Selected technique counted in pairs, 2|2, and 1 weft, Selected technique with derived odd count, 2|1, and 1 weft	Simple warp-faced structure, warped in 2 layers	Quechua-Chicha	Grouping of bands, Grouping of very wide stripe and strips		Warp thread	Wool fibre						Weft thread		Warp-faced cloth	Bluish violet, Greyish white, Red, Reddish brown, Sage green, Violet, Yellow		Major contrast	Complex structural tubular finishing										
ILCA_ASU004	"Tapete doméstico en base a una lliclla, de la región de Tinkipaya (Potosí, Bolivia), del proyecto Asur de Sucre, en faz de urdimbre, elaborado en lana de ovino.
Formado por una sola pieza, el tapete no presenta costuras ni acabados.
La composición del tapete es de bandas de diseños geométricos, intercaladas con listas medianas y angostas de color.
La composición es simétrica en torno al eje central en diseños pero no en el uso de color.
La banda mayor central tiene un patrón de zigzags con semillas, con estructura urdida en tres capas, y con técnica de reescogido por cantidad (aqllira), con conteo por impar derivado, 2|1.
Luego hay una banda menor de este tipo, esta vez solamente en chevrones, con la misma estructura y técnica.
Después viene una banda de dos filas de rombos con semillas adentro, urdidas a dos, con técnica escogida con conteo de 2|1.
Le sigue otra banda menor de chevrones urdida a dos, con técnica de escogido con conteo por impar derivado, 2|1, y finalmente una banda de volutas en camino, urdida a dos, en técnica de escogida con conteo por impar derivado, 2|1.
Todas las bandas están intercaladas con listas medianas y angostas de varios colores.
La gama cromática es de rojos, guindos, violetas, azules, verdes, amarillos y blanco.

"	['ASU004_IMG_0777.jpg', 'ASU004_IMG_0779.jpg', 'ASU004_IMG_0781.jpg', 'ASU004_IMG_0784.jpg', 'ASU004_IMG_0785.jpg', 'ASU004_IMG_0787.jpg', 'ASU004_S1_0779.png', 'ASU004_S1_0781.png']	Table mat	Republican Period (1825-present)	Museum of Indigenous Art ASUR, website	Ayllu Tinkipaya, Bolivia, Central Interandean Valleys	Ayllu Tinkipaya, Bolivia, Central Interandean Valleys	Central Qharaqhara	Bifurcation, Diamond in general, Medium-sized stripe, Narrow stripe, Volutes in sequence, Zigzag with seeds	Reselected technique selected in groups, with a derived odd count, 2|1, and 2 wefts	Complex warp-faced structure, warped in 3 layers	Aymara-Quechua-Central Qharaqhara	Grouping of bands, Grouping of strips	Structural component	Warp thread	Wool fibre						Weft thread		Warp-faced cloth	Blue, Bluish violet, Greenish-blue, Greyish white, Red, Reddish brown, Sage green, Violet, Yellow		Major contrast		With a seed inside			Axial symmetry, Translation, Translation 2, Translation 3, Translation 4, Translation 5						
ILCA_ASU005	"Medio acso etnográfico, de la región Jalq'a (Chuquisaca, Bolivia), en faz de urdimbre, elaborada en fibra de camélido (la pampa) y lana de ovino (en los hilos teñidos).
Es de una sola pieza, y es un fragmento, faltando una esquina
"	['ASU005_IMG_0789.jpg', 'ASU005_IMG_0791.jpg', 'ASU005_IMG_0792.jpg', 'ASU005_IMG_0793.jpg', 'ASU005_IMG_0794.jpg', 'ASU005_IMG_0795.jpg', 'ASU005_IMG_0796.jpg', 'ASU005_S1_0796.png']	Dress	Republican Period (1825-present)	Museum of Indigenous Art ASUR, website	Bolivia, Central Interandean Valleys, Ravelo	Bolivia, Central Interandean Valleys, Ravelo	East Yampara	Bird in general, Medium-sized stripe, Narrow stripe, Pampa, Zigzag, Zoomorph of the inner world	Selected technique with derived odd count, 2|1, and 1 weft	Simple warp-faced structure, warped in 2 layers	Quechua-East Yampara	Grouping of bands, Grouping of strips	Structural component	Warp thread	Wool fibre						Warp thread	Weft thread	Warp-faced cloth	Blue, Bluish violet, Grey, Greyish white, Reddish orange, Reddish violet		Minor contrast	Complex structural tubular finishing	Adult female, With offspring									
ILCA_ASU006	"Mitad de una lliclla etnográfica, de la región de Tarabuco (Chuquisaca, Bolivia), en faz de urdimbre, elaborada en fibra de camélido (la pampa), lana de ovino (los hilos de color) y lana acrílica.
Es una sola pieza y no presenta costuras.
El acabado es tubular simple (siq'a awakipa).
La composición de la lliclla es de una pampa de color negro, con un bloque de listas medianas y angostas en un costado.
Las listas medianas presentan un efecto jaspeado (ch'imi) por el conteo de los hilos de urdimbre y son intercaladas con dos grupos de listas delgadas.
las listas angostas tiene un degradeo (k'isa) en los colores.
La pieza termina con una lista mediana del mismo color negro que la pampa.
La estructura es simple, urdida a uno, en técnica llana.
La gama cromática es del negro de la pampa con colores rojos, azul, verde, amarillo, naranja, gris y blanco.
"	['ASU006_IMG_0797.jpg', 'ASU006_IMG_0799.jpg', 'ASU006_IMG_0802.jpg', 'ASU006_IMG_0803.jpg']	Mantle with shot stripes	Republican Period (1825-present)	Museum of Indigenous Art ASUR, website	Bolivia, Central Interandean Valleys, Tarabuco	Bolivia, Central Interandean Valleys, Tarabuco	Central Yampara	Medium-sized stripe, Narrow stripe, Pampa	Plainweave technique	Simple warp-faced structure, warped in 1 layer	Quechua-Tarabuco (Central Yampara )	Grouping of very wide stripe and strips	Structural component	Warp thread	Wool fibre						Warp thread	Weft thread	Warp-faced cloth	Black, Blue, Greenish-blue, Greyish white, Pink, Red, Reddish brown, Reddish orange, Yellowish red			Simple structural tubular finishing										
ILCA_ASU007	"La composición de este cuadro doméstico de estilo jalq'a es de una sola banda de diseños (palla o pallay), con los conocidos  motivos de zoomorfos del mundo interior, ornitomorfos y batracios, algunos con crías adentro de sus cuerpos, con motivos adicionales de zigzag horizontal y semillas en fila, todo sin orden particular sobre todo el textil (horror vacui).
Los motivos se realizan en rojo sobre una base de listas anchas en color verde y violeta.
La estructura es urdida a dos, con técnica de escogido con conteo por impar derivado, 2|1 (ch'ulla palla).
La gama cromática es de rojos, violetas y verde oscuro.
"	['ASU007_IMG_0805.jpg', 'ASU007_IMG_0806.jpg', 'ASU007_IMG_0807.jpg', 'ASU007_IMG_0808.jpg', 'ASU007_IMG_0809.jpg', 'ASU007_IMG_0810.jpg', 'ASU007_IMG_0811.jpg', 'ASU007_IMG_0812.jpg', 'ASU007_S1_0806.png']	Wall hanging	Republican Period (1825-present)	Museum of Indigenous Art ASUR, website	Bolivia, Central Interandean Valleys, Ravelo	Bolivia, Central Interandean Valleys, Ravelo	East Yampara	Bird in general, Seed, Zigzag, Zoomorph of the inner world	Selected technique with derived odd count, 2|1, and 1 weft	Simple warp-faced structure, warped in 2 layers	Quechua-East Yampara	Band	Structural component	Warp thread	Probably alpaca						Weft thread		Warp-faced cloth	Bluish violet, Brown, Greenish-blue, Pink, Reddish violet		Minor contrast		Adult female		Row of							
ILCA_BML001	"Fragmento de textil en fibra de camélido, con tres piezas de entrelazado oblicuo cosidas juntas.
Posiblemente era la terminación de algunas prenda.
Tiene los restos de un fragmento de tapiz llano cosido a la parte superior, en color rosado, en una de las tres piezas.
Tiene flecos en la parte inferior como extensiones de la urdimbre.
La estructura es urdida en 1 capa, con técnica de entrelazada.
El diseño es de rombos anidados intercalados con aproximaciones en esta técnica de serpientes entrelazados en colores guindo, café oscuro, azul claro (turquesa) y amarillo.
"	['BML001_IMG_3160.jpg', 'BML001_IMG_3162.jpg', 'BML001_IMG_3167.jpg']		Early Intermediate (200 BC-600 AD)	British Museum, website	Nasca, Peru, South coast	Nasca, Peru, South coast	Nasca	Concentric diamonds, Diamond in general, Serpent	Oblique interlacing technique	Complex oblique interlacing structure	Nasca			Warp thread	Camelid fibre								Oblique interlacing	Blue, Brown, Red, Yellow			Fringe in warp with no weft			Concentric, Interlaced, Interlinked							
ILCA_BML002	"Pieza 1 de un fragmento de banda acolchada, en fibra de camélido con flecos en un extremo y una asa o huato de doble tela, más angosta, en el otro.
Tiene estructuras y técnicas mixtas con intercambio horizontal de capas.
La pieza central tiene unas doce franjas en eje diagonal en entrelazado oblicuo con urdimbre y trama pareada, en un patrón de diseño de cuatro diagonales de colores (amarillo, café, rojo, guindo, café) que repiten.
Cada pieza diagonal cuenta con un bordado con técnica de tipo tubular como diseño en forma de relieve en la superficie, de figuras de S entrelazadas, de volutas en un ramo en común, etc.
Los flecos se inician en un trenzado de tres colores.
La asa o huato tiene un diseño geométrico de volutas.
"	['BML002_IMG_3169.jpg', 'BML002_IMG_3169_1.jpg', 'BML002_IMG_3172.jpg', 'BML002_IMG_3178.jpg', 'BML002_a.jpg']	Headband fragment	Middle Horizon (600-1000 AD)	British Museum, website	Nasca, Peru, South coast	Peru	Nasca-Huari (Late or Proliferous Nasca)	'S' motif, Branching volutes, Pampa, Volutes in sequence	Complex double cloth technique, with 1 weft, Tubular technique	Complex tubular structure, Complex warp-faced structure, warped in 4 layers	Nasca-Huari (Late or Proliferous Nasca)	Band	Added component, Extended component, Structural component	Warp and weft thread	Camelid fibre								Oblique interlacing, Tubular, Warp-faced cloth	Greenish-blue, Pink, Reddish brown, Reddish violet, Yellowish brown		Minor contrast	Complex plaited warp fringe, Complex plaited warp fringe, Complex braided warp fringe, Complex structural tubular finishing										
ILCA_BML003	"Pieza 2 de un fragmento de banda acolchada en fibra de camélido, con flecos en un extremo y una asa o huato de doble tela, más angosta, en el otro.
Tiene estructuras y técnicas mixtas con intercambio horizontal de capas.
La pieza central tiene unas doce franjas de forma diagonal en entrelazado oblicuo con urdimbre y trama pareada, en un patrón de diseño de cuatro diagonales de color (amarillo, café, rojo, guindo, café) que repiten.
Cada pieza diagonal tiene un bordado con técnica de tipo tubular que forma diseños en relievé en la superficie, de figuras de S entrelazadas, volutas en un ramo en común, etc.
Los flecos se inician en un trenzado de 3 colores.
La asa o huato en doble tela, tiene un diseño geométrico de volutas.
"	['BML003_IMG_3183.jpg', 'BML003_IMG_3184.jpg', 'BML003_IMG_3187.jpg']	Headband fragment	Middle Horizon (600-1000 AD)	British Museum, website	Nasca, Peru, South coast	Peru	Nasca-Huari (Late or Proliferous Nasca)	'S' motif, Branching volutes, Pampa, Volutes in sequence	Complex double cloth technique, with 1 weft, Tubular technique	Complex tubular structure, Complex warp-faced structure, warped in 4 layers	Nasca-Huari (Late or Proliferous Nasca)	Band	Added component, Extended component, Structural component	Warp and weft thread	Camelid fibre								Oblique interlacing, Tubular, Warp-faced cloth	Greenish-blue, Pink, Reddish brown, Reddish violet, Yellowish brown		Minor contrast	Complex plaited warp fringe, Complex plaited warp fringe, Complex braided warp fringe, Complex structural tubular finishing										
